course_name,course_id,professor,course_description,session,days,time,prof_search,mean_rating,mean_workload,graph_rating,graph_workload,url
Politics and Ethics in Unstable Times,DPI 200 G,Robichaud,How does someone who is dedicated to public service responsibly gain and exercise power and influence in their career? How do they maintain their integrity while making the world a better place without themselves becoming swept up in the negative social and political forces that structurally generate pervasive inequities and injustices?This course will help students navigate difficult professional environments that are ethically and politically complex. It focuses on three challenging areas that,Full Term,M/W,10:30am - 11:45am,"Robichaud, Christopher",4.470285714285716,3.474857142857143,0.0356190476190488,0.17252380952381,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 200 G(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Politics and Ethics in Unstable Times,DPI 200 H,Robichaud,How does someone who is dedicated to public service responsibly gain and exercise power and influence in their career? How do they maintain their integrity while making the world a better place without themselves becoming swept up in the negative social and political forces that structurally generate pervasive inequities and injustices?This course will help students navigate difficult professional environments that are ethically and politically complex. It focuses on three challenging areas that,Full Term,M/W,1:30pm - 2:45pm,"Robichaud, Christopher",4.470285714285716,3.474857142857143,0.0356190476190488,0.17252380952381,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 200 H(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Science of Behavior Change,MLD 304 A,Rogers,"Psychologists and economists have joined forces to study how people process information and actually make decisions, rather than how they would make decisions if they were fully rational and selfish.  This research program (behavioral economics, judgment and decision making, or behavioral science) shows how decisions deviate from “optimal” and why it matters.  We explore the nature, causes, implications and applications of these limitations.  The course’s main fo",Full Term,T/Th,9:00am - 10:15am,"Rogers, Todd",4.167647058823529,2.6588235294117646,-0.267019607843138,-0.643509803921569,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(MLD 304 A(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Science of Behavior Change,MLD 304 B,Rogers,"Psychologists and economists have joined forces to study how people process information and actually make decisions, rather than how they would make decisions if they were fully rational and selfish.  This research program (behavioral economics, judgment and decision making, or behavioral science) shows how decisions deviate from “optimal” and why it matters.  We explore the nature, causes, implications and applications of these limitations.  The course’s main fo",Full Term,T/Th,12:00pm - 1:15pm,"Rogers, Todd",4.167647058823529,2.6588235294117646,-0.267019607843138,-0.643509803921569,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(MLD 304 B(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Policy Design and Delivery II,API 502 A,Rosenbach,"In this second part of PDD (API502), you will switch gears from policy/strategy formulation to execution. You will learn about project management, including systems thinking, leveraging digital technologies,  financial management,  performance monitoring,  and  risk management.  You will learn how to leverage analytical tools and guiding frameworks, and how to think about the use of data to optimize your chances of success. By the end of this course, you will be equipped",Full Term,T/Th,9:00am - 10:15am,"Rosenbach, Eric",4.813333333333333,3.79,0.378666666666666,0.487666666666667,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 502 A(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Digital Government,DPI 662M C,Roy,"Intended for those interested in public policy and service delivery, this course provides a broad overview of emerging opportunities, challenges and risks created by information technology in the public sector. Interested students can select among the following three options (credits vary):Section A: Michael Flowers: Foundations of Digital Government (Fall; 4.0 credits). This course provides a pragmatic overview of the emerging opportunities, challenges and risks created by public sector use of",Spring 2,F,1:30pm - 3:30pm,*New*,,,,,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 662M C(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Machine Learning and Big Data Analytics,API 222,Saghafian,"In the last couple of decades, the amount of data available to organizations has significantly increased. Individuals who can use this data together with appropriate analytical techniques can discover new facts and provide new solutions to various existing problems. This course provides an introduction to the theory and applications of some of the most popular machine learning techniques. It is designed for students interested in using machine learning and related analytical techniques to make b",Full Term,T/Th,12:00pm - 1:15pm,"Saghafian, Soroush",3.902,3.791,-0.532666666666667,0.488666666666667,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 222(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
The Great Food Transformation: Food Systems and Politics,IGA 422,Saha,"This course will explore the costs, politics, and solutions in our global food system, with a focus on the United States. This course is partnered with UC Berkeley’s Plant Futures Initiative’s Challenge Lab. It is also an ‘engaged’ course, affiliated with Harvard’s Mindich Program in Engaged Scholarship, meaning there are outside events and speakers who will be brought into the class. The course will have three units. In the first unit, students will learn about the",Full Term,T/Th,3:00pm - 4:15pm,*New*,,,,,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(IGA 422(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Empirical Methods II,API 202M C,Schneer,"Intended as a continuation of API-201, this 5-week module equips students with an understanding of common tools of quantitative empirical analysis in policy applications. Much of the learning will take place through hands-on analysis of data sets, as well as case studies illustrating critical concepts. The course will cover describing relationships between multiple variables, handling data in the real world, the challenges surrounding making causal claims, and interpreting the results of studies",Spring 1,T/Th,10:30am - 11:45am,"Schneer, Benjamin",4.0875,3.2675,-0.347166666666666,-0.0348333333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 202M C(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
"Cybersecurity: Technology, Policy, and Law",IGA 236,Schneier,"In our information-age society, cyber/Internet security has become a paramount concern and an increasingly broad area of public policy.  From cybercrime to national security, from corporate data collection to government surveillance, from cell phones to driverless cars, issues of Internet security are everywhere. These issues are complex and multifaceted, touching on such things as personal freedom and autonomy, public safety, corporate behavior and profitability, international relations, a",Full Term,M/W,9:00am - 10:15am,"Schneier, Bruce",4.579,2.615,0.144333333333333,-0.687333333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(IGA 236(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Column and Opinion Writing,DPI 830 B,Seglin,"This course is designed to give students an understanding of the process of researching, writing, and revising columns with an emphasis on the importance of audience. While we will spend time distinguishing opinion columns as one type of column, we will also focus on several other types of columns throughout the course. The course will draw on both the published writing of seasoned columnists and columns written by students. The class will be run as a seminar and writing workshop. Through readin",Full Term,T/Th,10:30am - 11:45am,"Seglin, Jeffrey",4.9670000000000005,3.784,0.532333333333334,0.481666666666666,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 830 B(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
The Arts of Communication,DPI 802M D-1,Shapira,"Today's leaders must have the ability to communicate with clarity and integrity. This course seeks to strengthen the capacity of each student to do so in public and private settings while navigating a diverse range of leadership challenges. Approximately one-third of our time together will be devoted to lessons and discussions to introduce students to strategies of communication and models of public presentation. The other two-thirds will consist of smaller sections, in which students will h",Spring 2,M/W,4:30pm - 6:30pm,"Shapira, Allison",4.711428571428571,2.9514285714285715,0.276761904761904,-0.350904761904762,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 802M D-1(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
The Arts of Communication,DPI 802M D-2,Shapira,"Today's leaders must have the ability to communicate with clarity and integrity. This course seeks to strengthen the capacity of each student to do so in public and private settings while navigating a diverse range of leadership challenges. Approximately one-third of our time together will be devoted to lessons and discussions to introduce students to strategies of communication and models of public presentation. The other two-thirds will consist of smaller sections, in which students will h",Spring 2,M/T,Split Schedule,"Shapira, Allison",4.711428571428571,2.9514285714285715,0.276761904761904,-0.350904761904762,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 802M D-2(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Doctoral Seminar in Health Economics,SUP 951,Shepard,"Explores frontier work in the field of health economics. Focuses on learning advanced theories and economic models useful for policy analysis, and on helping students develop dissertation and/or research topics. Students enrolled for credit are expected to present original research at the end of the semester.",Full Term,W,4:00pm - 5:30pm,"Shepard, Mark",4.698,3.308,0.263333333333333,0.0056666666666664,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(SUP 951(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Economics and Social Policy Graduate Student Workshop (spring),SUP 940Y,Shepard,Participants discuss recent research in the economics of social policy and present their own work in progress to get feedback from faculty and peer students. Enrollment is open to doctoral students who have completed first-year PhD microeconomics and econometrics courses.,Full Term,Th,12:00pm - 1:15pm,"Shepard, Mark",4.698,3.308,0.263333333333333,0.0056666666666664,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(SUP 940Y(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
"Resources, Incentives, and Choices II: Analysis of Public Policy",API 102 A,Shepard,"This course builds on API-101 to develop microeconomic and macroeconomic tools of analysis for policy problems through various policy applications. The course is broadly focused on evaluating the rationale for government intervention in the economy and evaluating the efficiency, incentive, and distributional effects of government policies.",Full Term,M/W,9:00am - 10:15am,"Shepard, Mark",4.698,3.308,0.263333333333333,0.0056666666666664,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 102 A(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
International Law and Global Justice,IGA 105,Sikkink,"Can international law be a tool for promoting global justice? In this class, we will explore diverse issues such as why the laws of war didn’t constrain the Russian invasion of the Ukraine and whether international criminal accountability for mass atrocity can deter human rights violations and satisfy victims?  How could reparations for slavery be delivered?  Can environmental law help reduce climate change and provide justice for climate refugees? Can trade law contribute to a f",Full Term,M/W,1:30pm - 2:45pm,"Sikkink, Kathryn",4.650833333333333,3.577500000000001,0.216166666666666,0.275166666666667,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(IGA 105(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Policy Design and Delivery II,API 502 B,Sinai,"In this second part of PDD (API502), you will switch gears from policy/strategy formulation to execution. You will learn about project management, including systems thinking, leveraging digital technologies,  financial management,  performance monitoring,  and  risk management.  You will learn how to leverage analytical tools and guiding frameworks, and how to think about the use of data to optimize your chances of success. By the end of this course, you will be equipped",Full Term,T/Th,9:00am - 10:15am,"Sinai, Nick",4.140000000000001,4.2325,-0.294666666666666,0.930166666666667,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 502 B(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Seminar in Environmental Economics and Policy (spring),API 905Y,Stavins,"This is an advanced research seminar on selected topics in environmental and resource economics. Emphasizes theoretical models, quantitative empirical analysis, and public policy applications. Includes presentations by invited outside speakers. Students prepare critiques of presented papers and prepare a research paper of their own.",Full Term,W,4:30pm - 5:45pm,"Stavins, Robert",4.177692307692308,3.1592307692307693,-0.256974358974359,-0.143102564102564,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 905Y(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Disability Law and Policy,DPI 515,Stein,"According to World Bank estimates, persons with disabilities comprise 15% of the global population, or more than one billion individuals. Nevertheless, until the adoption of the UN Convention on the Rights of Persons with Disabilities (CRPD), the world's largest minority group was largely excluded from global human rights protection (e.g., UN human rights treaty work), global initiatives (notably the Millennium Development Goals ), and national level law and policy programming, with the",Full Term,T,4:30pm - 7:15pm,"Stein, Michael",4.642,2.744,0.207333333333334,-0.558333333333334,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 515(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Empirical Methods II,API 202M B,Svoronos,"Intended as a continuation of API-201, this 5-week module equips students with an understanding of common tools of quantitative empirical analysis in policy applications. Much of the learning will take place through hands-on analysis of data sets, as well as case studies illustrating critical concepts. The course will cover describing relationships between multiple variables, handling data in the real world, the challenges surrounding making causal claims, and interpreting the results of studies",Spring 1,T/Th,10:30am - 11:45am,"Svoronos, Teddy",4.896,4.102,0.461333333333333,0.799666666666667,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 202M B(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Grand Challenges in Technology-Society Clashes,DPI 642,Sweeney,"In this course, we “save the world"" and teach you to do the same using scientific experimentation and writing. During the weeks of the semester, we explore ways to create and use technology to assess and solve real-world societal, political and governance problems. In a hands-on lab format, we jointly tackle three real-world technology-society clashes and provide timely solutions or interventions. As the weeks unfold, we relax the structure, so by the end of the semester, you des",Full Term,T/Th,10:30am - 11:45am,"Sweeney, Latanya",4.355,3.5,-0.0796666666666663,0.197666666666667,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 642(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
